Date,Description,Amount,RawText
2025-04-01,Starbucks Coffee,-5.75,POS 1234 Starbucks Coffee NYC
2025-04-02,Uber Ride,-12.3,Uber trip ID 987654
2025-04-02,Amazon Purchase,-45.99,Amazon.com purchase order 112233
2025-04-03,Shell Gas Station,-36.4,Shell fuel pump 5
2025-04-04,Netflix Subscription,-15.99,NETFLIX.COM monthly fee
2025-04-05,Grocery Store,-89.2,Walmart groceries TX
2025-04-06,ATM Withdrawal,-100.0,ATM Withdrawal 4567
2025-04-07,Electricity Bill,-60.15,Electricity bill payment
2025-04-08,Apple Store,-1200.0,Apple store invoice #123
2025-04-09,Domino's Pizza,-19.9,Domino's Pizza order #6789
